Repo_id;Full_name_modified;Full_name;owner_id;created_at;updated_at;size;stargazers;Subscribers;forks_count;open_issues;watchers;has_downloads;has_issues;has_pages;has_wiki;has_projects;git_url;clone_url;last_commit_sha;license;testsmells_file;CK_File_Class;CK_File_Method
71053253;albertodelazzari_flink-neo4j;albertodelazzari/flink-neo4j;22867911;Sun Oct 16 11:50:08 BRST 2016;Tue Aug 31 22:11:36 BRT 2021;475;9;1;3;1;9;TRUE;TRUE;TRUE;TRUE;TRUE;git://github.com/albertodelazzari/flink-neo4j.git;https://github.com/albertodelazzari/flink-neo4j.git;d631abcfbf3ef0a1a5c36dba5599ff83dedfc449;Apache License 2;results/albertodelazzari_flink-neo4j_testsmells.csv;results/albertodelazzari_flink-neo4j_class.csv;results/albertodelazzari_flink-neo4j_method.csv
56596178;albertogoffi_toradocu;albertogoffi/toradocu;7849335;Tue Apr 19 09:49:42 BRT 2016;Wed Aug 25 13:14:56 BRT 2021;12606;35;8;19;36;35;TRUE;TRUE;FALSE;TRUE;TRUE;git://github.com/albertogoffi/toradocu.git;https://github.com/albertogoffi/toradocu.git;cf5fd14ff353bb033463d689550814292bd11cfc;Other;results/albertogoffi_toradocu_testsmells.csv;results/albertogoffi_toradocu_class.csv;results/albertogoffi_toradocu_method.csv
214250454;Albertoimpl_k8s-for-the-busy;Albertoimpl/k8s-for-the-busy;405869;Thu Oct 10 14:57:26 BRT 2019;Mon Aug 30 04:22:28 BRT 2021;3634;48;7;20;1;48;TRUE;TRUE;FALSE;TRUE;TRUE;git://github.com/Albertoimpl/k8s-for-the-busy.git;https://github.com/Albertoimpl/k8s-for-the-busy.git;4bd79b685e264fc1799dca5b0ca7df78415c4eb6;Apache License 2;results/Albertoimpl_k8s-for-the-busy_testsmells.csv;results/Albertoimpl_k8s-for-the-busy_class.csv;results/Albertoimpl_k8s-for-the-busy_method.csv
149189262;albertopastormr_greengo;albertopastormr/greengo;32735087;Mon Sep 17 18:18:30 BRT 2018;Tue May 11 14:14:15 BRT 2021;20697;4;0;2;0;4;TRUE;TRUE;FALSE;TRUE;TRUE;git://github.com/albertopastormr/greengo.git;https://github.com/albertopastormr/greengo.git;c75838f45343fd91b6c3adb19ed03ecc36bcd7ba;MIT License;results/albertopastormr_greengo_testsmells.csv;results/albertopastormr_greengo_class.csv;results/albertopastormr_greengo_method.csv
4516994;albertoruibal_carballo;albertoruibal/carballo;1803607;Fri Jun 01 04:11:29 BRT 2012;Thu Sep 16 10:22:34 BRT 2021;10811;63;14;34;3;63;TRUE;TRUE;FALSE;TRUE;TRUE;git://github.com/albertoruibal/carballo.git;https://github.com/albertoruibal/carballo.git;1ae31ffa67b97f3eda00ef5226b822cd4cf15df6;GNU General Public License v3;results/albertoruibal_carballo_testsmells.csv;results/albertoruibal_carballo_class.csv;results/albertoruibal_carballo_method.csv
34543375;albertus82_router-logger;albertus82/router-logger;8672431;Fri Apr 24 18:43:46 BRT 2015;Sat Jun 05 08:04:56 BRT 2021;148396;6;3;1;1;6;TRUE;TRUE;FALSE;TRUE;TRUE;git://github.com/albertus82/router-logger.git;https://github.com/albertus82/router-logger.git;8468dbabcc416cb640f634556c6c6092762dd49b;GNU General Public License v3;results/albertus82_router-logger_testsmells.csv;results/albertus82_router-logger_class.csv;results/albertus82_router-logger_method.csv
51713301;albfernandez_itext2;albfernandez/itext2;2701620;Sun Feb 14 19:01:26 BRST 2016;Tue Jul 13 19:47:28 BRT 2021;8624;22;5;19;1;22;TRUE;TRUE;FALSE;TRUE;TRUE;git://github.com/albfernandez/itext2.git;https://github.com/albfernandez/itext2.git;b99ed0240e7030f394d08d9b63eb7bfd619a1b9d;Other;results/albfernandez_itext2_testsmells.csv;results/albfernandez_itext2_class.csv;results/albfernandez_itext2_method.csv
40398736;albfernandez_javadbf;albfernandez/javadbf;2701620;Sat Aug 08 06:53:36 BRT 2015;Sat Oct 16 23:28:12 BRT 2021;1022;167;26;82;26;167;FALSE;TRUE;FALSE;FALSE;TRUE;git://github.com/albfernandez/javadbf.git;https://github.com/albfernandez/javadbf.git;f4f03bd72ae014f96c213faa6f28df5d1835b669;GNU Lesser General Public License v3;results/albfernandez_javadbf_testsmells.csv;results/albfernandez_javadbf_class.csv;results/albfernandez_javadbf_method.csv
52904516;albfernandez_juniversalchardet;albfernandez/juniversalchardet;2701620;Tue Mar 01 16:39:43 BRT 2016;Fri Oct 15 04:17:08 BRT 2021;725;181;13;41;7;181;FALSE;TRUE;FALSE;FALSE;TRUE;git://github.com/albfernandez/juniversalchardet.git;https://github.com/albfernandez/juniversalchardet.git;92a12d800a2c91948f09fa190eda878a1975f10c;Other;results/albfernandez_juniversalchardet_testsmells.csv;results/albfernandez_juniversalchardet_class.csv;results/albfernandez_juniversalchardet_method.csv
10514209;alblue_com.packtpub.e4;alblue/com.packtpub.e4;76791;Wed Jun 05 19:32:41 BRT 2013;Tue Oct 19 04:45:35 BRT 2021;478;47;11;33;1;47;TRUE;TRUE;FALSE;TRUE;TRUE;git://github.com/alblue/com.packtpub.e4.git;https://github.com/alblue/com.packtpub.e4.git;a2a88fb2e88f36bc86cc73a566d3df3039403c51;Other;results/alblue_com.packtpub.e4_testsmells.csv;results/alblue_com.packtpub.e4_class.csv;results/alblue_com.packtpub.e4_method.csv
