App,TestClass,TestFilePath,ProductionFilePath,RelativeTestFilePath,RelativeProductionFilePath,NumberOfMethods,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test
TestSmellDetector,DashMediaSourceTest.java,D:\Master_Thesis\Github_Projects\exoplayer-amazon-port\library\dash\src\test\java\com\google\android\exoplayer2\source\dash\DashMediaSourceTest.java,D:\Master_Thesis\Github_Projects\exoplayer-amazon-port\library\dash\src\main\java\com\google\android\exoplayer2\source\dash\DashMediaSource.java,,,21,12,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
TestSmellDetector,DashUtilTest.java,D:\Master_Thesis\Github_Projects\exoplayer-amazon-port\library\dash\src\test\java\com\google\android\exoplayer2\source\dash\DashUtilTest.java,D:\Master_Thesis\Github_Projects\exoplayer-amazon-port\library\dash\src\main\java\com\google\android\exoplayer2\source\dash\DashUtil.java,,,10,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0
TestSmellDetector,DefaultDashChunkSourceTest.java,D:\Master_Thesis\Github_Projects\exoplayer-amazon-port\library\dash\src\test\java\com\google\android\exoplayer2\source\dash\DefaultDashChunkSourceTest.java,D:\Master_Thesis\Github_Projects\exoplayer-amazon-port\library\dash\src\main\java\com\google\android\exoplayer2\source\dash\DefaultDashChunkSource.java,,,7,2,2,0,0,0,5,0,0,0,0,2,0,0,0,0,1,0,0,0,5,0
TestSmellDetector,EventSampleStreamTest.java,D:\Master_Thesis\Github_Projects\exoplayer-amazon-port\library\dash\src\test\java\com\google\android\exoplayer2\source\dash\EventSampleStreamTest.java,D:\Master_Thesis\Github_Projects\exoplayer-amazon-port\library\dash\src\main\java\com\google\android\exoplayer2\source\dash\EventSampleStream.java,,,18,12,0,0,0,0,0,13,0,0,0,0,0,0,4,11,1,0,0,0,13,0
TestSmellDetector,DashManifestTest.java,D:\Master_Thesis\Github_Projects\exoplayer-amazon-port\library\dash\src\test\java\com\google\android\exoplayer2\source\dash\manifest\DashManifestTest.java,D:\Master_Thesis\Github_Projects\exoplayer-amazon-port\library\dash\src\main\java\com\google\android\exoplayer2\source\dash\manifest\DashManifest.java,,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0
TestSmellDetector,DashManifestParserTest.java,D:\Master_Thesis\Github_Projects\exoplayer-amazon-port\library\dash\src\test\java\com\google\android\exoplayer2\source\dash\manifest\DashManifestParserTest.java,D:\Master_Thesis\Github_Projects\exoplayer-amazon-port\library\dash\src\main\java\com\google\android\exoplayer2\source\dash\manifest\DashManifestParser.java,,,36,22,1,0,0,0,30,0,0,0,0,0,0,0,2,5,3,1,0,0,32,0
TestSmellDetector,DescriptorTest.java,D:\Master_Thesis\Github_Projects\es6draft\src\test\java\com\github\anba\es6draft\test262\DescriptorTest.java,D:\Master_Thesis\Github_Projects\exoplayer-amazon-port\library\dash\src\main\java\com\google\android\exoplayer2\source\dash\manifest\Descriptor.java,,,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
TestSmellDetector,RangedUriTest.java,D:\Master_Thesis\Github_Projects\exoplayer-amazon-port\library\dash\src\test\java\com\google\android\exoplayer2\source\dash\manifest\RangedUriTest.java,D:\Master_Thesis\Github_Projects\exoplayer-amazon-port\library\dash\src\main\java\com\google\android\exoplayer2\source\dash\manifest\RangedUri.java,,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
TestSmellDetector,SegmentBaseTest.java,D:\Master_Thesis\Github_Projects\exoplayer-amazon-port\library\dash\src\test\java\com\google\android\exoplayer2\source\dash\manifest\SegmentBaseTest.java,D:\Master_Thesis\Github_Projects\exoplayer-amazon-port\library\dash\src\main\java\com\google\android\exoplayer2\source\dash\manifest\SegmentBase.java,,,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
TestSmellDetector,UrlTemplateTest.java,D:\Master_Thesis\Github_Projects\exoplayer-amazon-port\library\dash\src\test\java\com\google\android\exoplayer2\source\dash\manifest\UrlTemplateTest.java,D:\Master_Thesis\Github_Projects\exoplayer-amazon-port\library\dash\src\main\java\com\google\android\exoplayer2\source\dash\manifest\UrlTemplate.java,,,4,1,0,0,0,0,1,0,0,0,0,0,0,0,3,11,1,0,0,0,4,0
